note,date,externalLink
"SSRN - Empathy, Thick and Thin",2025/12/14,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5862422
"404 Media - Someone Put Facial Recognition Tech onto Meta's Smart Glasses to Instantly Dox Strangers",2024/10/05,https://www.404media.co/someone-put-facial-recognition-tech-onto-metas-smart-glasses-to-instantly-dox-strangers/
"404 Media - Hidden ‘BopSpotter’ Microphone Is Constantly Surveilling San Francisco for Good Music",2024/10/05,https://www.404media.co/hidden-bopspotter-microphone-is-constantly-surveilling-san-francisco-for-good-music/
"IE University and Microsoft launch AI4Democracy",2024/10/05,https://www.ie.edu/university/news-events/news/ie-university-microsoft-launch-ai4democracy/
"IDEA Democracy Tracker",2024/10/05,https://www.idea.int/democracytracker/
"Apple seeks to drop its lawsuit against Israeli spyware pioneer NSO",2024/10/05,https://www.washingtonpost.com/technology/2024/09/13/apple-lawsuit-nso-pegasus-spyware/
"POSSE: Reclaiming social media in a fragmented world",2024/09/27,https://www.citationneeded.news/posse/
"Hacking Kia: Remotely Controlling Cars With Just a License Plate",2024/09/27,https://samcurry.net/hacking-kia
"Rest of World 2024 AI Elections Tracker",2024/04/15,https://restofworld.org/2024/elections-ai-tracker/
"Taxidermied, taxidermized, taxidermic.. this halloween season, know the difference and impress your friends!",2023/10/16,https://wikidiff.com/taxidermized/taxidermied)
"EFF: An important tool to help understand your level of exposure via browser fingerprinting and related privacy vulnerabilities",2023/09/08,https://coveryourtracks.eff.org/
"Your car is a computer, your car is a surveillance nightmare. Mozilla: It’s Official: Cars Are the Worst Product Category We Have Ever Reviewed for Privacy",2023/09/07,https://foundation.mozilla.org/en/privacynotincluded/articles/its-official-cars-are-the-worst-product-category-we-have-ever-reviewed-for-privacy/
"An example of Unity engine being used for synthetic video",2023/03/30,https://www.theverge.com/2023/3/24/23655398/is-this-a-deepfake
"Trump arrest deepfakes (WP)",2023/03/30,https://www.washingtonpost.com/politics/2023/03/22/trump-arrest-deepfakes/
"Varieties of Democracy",2023/03/30,https://www.v-dem.net/
"Ursula K. Le Guin's son on updating outdated language in her books (LitHub)",2023/03/30,https://lithub.com/why-i-decided-to-update-the-language-in-ursula-k-le-guins-childrens-books/?ref=transfer-orbit
"They’re not TV anchors, they’re avatars: How Venezuela is using AI-generated propaganda",2023/03/22,https://proboxve.org/en/2023/03/01/no-son-periodistas-son-avatares-el-chavismo-impulsa-propaganda-hecha-con-inteligencia-artificial-2/
"Exploring Identity Through Gameplay: The Intersections of Tabletop Role-Playing Games, Game Design, and Queerness",2023/03/15,https://openaccess.wgtn.ac.nz/articles/thesis/Exploring_Identity_Through_Gameplay_The_Intersections_of_Tabletop_Role-Playing_Games_Game_Design_and_Queerness/21508257
"Social VR and Gender Exploration: An open survey of VR users who have explored gender identity and expression in social VR (pdf)",2023/03/15,https://deocadiz.com/wp-content/uploads/2023/03/Social-VR-and-Gender-Exploration.pdf
