BookId,Title,Author,AuthorLF,AdditionalAuthors,ISBN,ISBN13,MyRating,AverageRating,Publisher,Binding,NumberOfPages,YearPublished,OriginalPublicationYear,DateRead,DateAdded,Bookshelves,BookshelvesWithPositions,ExclusiveShelf,MyReview,Spoiler,PrivateNotes,ReadCount,RecommendedFor,RecommendedBy,OwnedCopies,OriginalPurchaseDate,OriginalPurchaseLocation,Condition,ConditionDescription,BCID
50805892,The Force of Nonviolence: The Ethical in the Political,Judith Butler,"Butler, Judith",,"=""""","=""""",5,3.95,Verso,Kindle Edition,240,2020,2020,,2020/05/03,,,read,,,,1,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",4,4.06,Tor Books,Hardcover,399,2014,2008,,2019/04/06,,,read,,,,1,,,0,,,,,
61513,The Sense of Order (Wrightsman Lectures 9),E.H. Gombrich,"Gombrich, E.H.",,"=""0714822590""","=""9780714822594""",4,3.86,Phaidon Press,Paperback,412,1994,1979,,2020/04/02,,,read,"A very thoughtful and comprehensive read on the global (!) history and cultural functioning and evolution of decoration and design. As Gombrich says, ""the historian is not a critic and should not aspire to be one,"" but the book did at times become discursive and hard to follow due to its lack of a strong unifying framework. Very worth the time; I will never look at wallpaper or picture frames the same way again.",,,1,,,0,,,,,
34014218,White Working Class: Overcoming Class Cluelessness in America,Joan C. Williams,"Williams, Joan C.",,"=""1633693783""","=""9781633693784""",5,3.89,Harvard Business Review Press,Hardcover,180,2017,2017,,2020/03/23,,,read,,,,1,,,0,,,,,
418209,Despair,Vladimir Nabokov,"Nabokov, Vladimir",,"=""0679723439""","=""9780679723431""",5,3.92,Vintage,Paperback,212,1989,1934,,2020/03/23,,,read,,,,1,,,0,,,,,
52210910,Mist from the Geyser (The Flamingo Diamond Series),Marc Pearson,"Pearson, Marc",,"=""""","=""""",5,5.00,Glom Press,,,2019,,,2019/12/02,,,read,,,,1,,,0,,,,,
486145,Art Attack: A Brief Cultural History of the Avant-Garde,Marc Aronson,"Aronson, Marc",,"=""0395797292""","=""9780395797297""",5,3.94,Clarion Books,Hardcover,192,1998,1998,,2020/02/26,,,read,,,,1,,,0,,,,,
30593,Pnin,Vladimir Nabokov,"Nabokov, Vladimir",David Lodge,"=""1400041988""","=""9781400041985""",4,3.90,Everyman's Library,Hardcover,143,2004,1957,,2020/01/21,,,read,,,,1,,,0,,,,,
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""0307266303""","=""9780307266309""",3,4.29,Knopf,Hardcover,287,2009,2009,,2019/12/11,,,read,,,,1,,,0,,,,,
49077703,"The Claw: The Terrible, Beautiful Claw (Flamingo Diamond Sseries #2)",Marc Pearson,"Pearson, Marc",,"=""""","=""""",5,5.00,,,,2017,,,2019/12/02,,,read,,,,1,,,0,,,,,
49077696,The Flamingo Diamond,Marc Pearson,"Pearson, Marc",,"=""""","=""""",5,5.00,,,,2017,,,2019/12/02,,,read,,,,1,,,0,,,,,
87923,"The Balkans: Nationalism, War and the Great Powers 1804 - 1999",Misha Glenny,"Glenny, Misha",,"=""0140233776""","=""9780140233773""",5,4.04,Penguin,Paperback,752,2001,1999,,2019/12/08,,,read,,,,1,,,0,,,,,
13235689,How Music Works,David Byrne,"Byrne, David",,"=""1936365537""","=""9781936365531""",5,3.95,McSweeney's,Hardcover,345,2012,2012,,2019/11/30,,,read,,,,1,,,0,,,,,
41864516,Go Ahead in the Rain: Notes to a Tribe Called Quest,Hanif Abdurraqib,"Abdurraqib, Hanif",,"=""1477316485""","=""9781477316481""",5,4.49,University of Texas Press,Paperback,207,2019,2019,,2019/10/17,,,read,,,,1,,,0,,,,,
8701960,"The Information: A History, a Theory, a Flood",James Gleick,"Gleick, James",,"=""0375423729""","=""9780375423727""",5,4.00,Knopf Doubleday Publishing Group,Hardcover,527,2011,2011,,2019/06/14,,,read,"Ironically, the main reason to read this book is not because it is incredibly informative but because it is astoundingly well written.",,,2,,,0,,,,,
20555289,Vattu: The Name & the Mark,Evan Dahm,"Dahm, Evan",,"=""""","=""""",5,4.37,,Paperback,280,2013,2013,,2019/09/23,,,read,,,,1,,,0,,,,,
36513607,And Then the World Blew Up,Mr. Fish,"Fish, Mr.",,"=""""","=""""",2,3.71,Fantagraphics,Kindle Edition,180,2017,,,2019/09/02,,,read,,,,1,,,0,,,,,
27753928,"The Beauty, Vol. 1",Jeremy Haun,"Haun, Jeremy","Jason A. Hurley, John Rauch, Fonografiks","=""1632155508""","=""9781632155504""",4,3.74,Image Comics,Paperback,164,2016,2016,,2019/09/02,,,read,,,,1,,,0,,,,,
