title,role,additionalAuthors,internalLink,externalLink,publisher,date,category,image
"A qué se refiere en verdad Mark Zuckerberg cuando habla del “metaverso”",,,,https://letraslibres.com/ciencia-y-tecnologia/a-que-se-refiere-en-verdad-mark-zuckerberg-al-hablar-del-metaverso/,Letras Libres,2021/11/12,article,/logos/logo_letras_libres.jpg
"What Mark Zuckerberg Really Means When He Talks About the Metaverse",,,,https://slate.com/technology/2021/10/facebook-metaverse-privacy-meta-what-it-means.html,Slate,2021/10/28,article,/logos/slate.png
"""Fake News,"" Meet Fake Censorship",,,,https://techpolicy.press/fake-news-meet-fake-censorship/,Tech Policy Press,2021/10/15,article,/logos/tech-policy-press.png
"Press Freedom: A discussion with Viktorya Vilk and Matt Bailey of PEN America",,,,https://foreignpress.org/news/a-discussion-with-viktorya-vilk-and-matt-bailey-of-pen-america-the-greatest-threats-to-free-expression-in-the-united-states,Foreign Press,2021/10/01,article,/logos/foreign-press.png
"The Taliban Takeover Is Forcing Afghans to Delete Their Photos and Posts—It’s a Free Expression Tragedy",,,,https://pen.org/the-taliban-takeover-is-forcing-afghans-to-delete-their-photos-and-posts-its-a-free-expression-tragedy/,PEN America,2021/08/24,article,/logos/pen-america.png
"Безпека в глобальній мережі нині дорівнює безпеці всюди",Interviewed by Ганна Трегуб,,,https://tyzhden.ua/Culture/252507,The Ukrainian Week,2021/07/29,article,/logos/logo-tyzhden_red_bg.svg
"The PEN Pod: Diving Into The Pegasus Leak",,,,https://pen.org/the-pen-pod-matt-bailey-2/,PEN America,2021/06/23,article,/logos/pen-america.png
"Splintered Speech: Digital Sovereignty and the Future of the Internet",Co-author,"James Tager",,https://pen.org/report/splintered-speech-digital-sovereignty-and-the-future-of-the-internet/,PEN America,2021/06/14,research,/misc/splintered-speech-social.jpg
"Dark Patterns, Web Design, and Free Expression",,,,https://pen.org/dark-patterns-web-design-and-free-expression/,PEN America,2021/05/20,research,/logos/dark-patterns-tip-line.png
"Myanmar’s Escalating Digital Repression—and Activists’ Digital Resistance",Co-author,"Marta Lasota, Karin Deutsch Karlekar",,https://pen.org/myanmars-escalating-digital-repression-and-activists-digital-resistance/,PEN America,2021/05/10/,article,/logos/pen-america.png
"Seven Ways Myanmar’s Military is Cracking Down on Free Expression in the Wake of the Coup",Co-author,"Marta Lasota, Karin Deutsch Karlekar",,https://pen.org/seven-ways-myanmars-military-is-cracking-down-on-free-expression-in-the-wake-of-the-coup/,PEN America,2021/04/16/,article,/logos/pen-america.png
"Facebook’s Inch Deep, Mile-Wide Human Rights Policy",,,,https://pen.org/facebooks-inch-deep-mile-wide-human-rights-policy/,PEN America,2021/04/02,article,/logos/pen-america.png
"No Excuse For Abuse!",Co-author,"Viktorya Vilk, Elodie Vialle",,https://pen.org/report/no-excuse-for-abuse/,PEN America,2021/04/02,research,/misc/NoExcuseforAbuse_SocialGraphic_1.png
"The PEN Pod: How Social Media Platforms Are Moderating Election Disinformation",,,,https://pen.org/the-pen-pod-matt-bailey/,PEN America,2020/10/20,article,/logos/pen-america.png
"Where Does the Idea of a Disinformation 'Infodemic' Come From?",,,,https://hyperallergic.com/592829/where-does-the-idea-of-a-disinformation-infodemic-originate/,Hyperallergic,2020/10/14,article,/logos/hyperallergic-full.png
"The First Wave: Six Months of Social Media Platforms Responding to COVID-19",,,,https://pen.org/the-first-wave-social-media-platforms-responding-to-covid-19/,PEN America,2020/09/03,research,/logos/pen-america.png
"Three Big Discussions We Need to Have ASAP About AI and Social Media Moderation",,,,https://pen.org/three-big-discussions-ai-social-media-moderation/,PEN America,2020/07/13,article,/logos/pen-america.png
"In suspense : suspense fiction and sensational publicity in the British fin de siècle",,,,http://hdl.handle.net/10822/552984,Georgetown University,2010/01/01,research,/logos/georgetown.png
